School,Year,Level,Size
Colonel Gray Family of Schools,Colonel Gray High,2003,Grade 2,0
Colonel Gray Family of Schools,Colonel Gray High,2003,Grade 3,0
Colonel Gray Family of Schools,Colonel Gray High,2003,Grade 4,0
Colonel Gray Family of Schools,Colonel Gray High,2003,Grade 5,0
Colonel Gray Family of Schools,Colonel Gray High,2003,Grade 6,0
Colonel Gray Family of Schools,Colonel Gray High,2003,Grade 7,0
Colonel Gray Family of Schools,Colonel Gray High,2003,Grade 8,0
Colonel Gray Family of Schools,Colonel Gray High,2003,Grade 9,0
Colonel Gray Family of Schools,Colonel Gray High,2003,Grade 10,277
Colonel Gray Family of Schools,Colonel Gray High,2003,Grade 11,323
Colonel Gray Family of Schools,Colonel Gray High,2003,Grade 12,318
Colonel Gray Family of Schools,Colonel Gray High,2004,K,0
Colonel Gray Family of Schools,Colonel Gray High,2004,Grade 1,0
Colonel Gray Family of Schools,Colonel Gray High,2004,Grade 2,0
Colonel Gray Family of Schools,Colonel Gray High,2004,Grade 3,0
Colonel Gray Family of Schools,Colonel Gray High,2004,Grade 4,0
Colonel Gray Family of Schools,Colonel Gray High,2004,Grade 5,0
Colonel Gray Family of Schools,Colonel Gray High,2004,Grade 6,0
Colonel Gray Family of Schools,Colonel Gray High,2004,Grade 7,0
Colonel Gray Family of Schools,Colonel Gray High,2004,Grade 8,0
Colonel Gray Family of Schools,Colonel Gray High,2004,Grade 9,0
Colonel Gray Family of Schools,Colonel Gray High,2004,Grade 10,354
Colonel Gray Family of Schools,Colonel Gray High,2004,Grade 11,314
Colonel Gray Family of Schools,Colonel Gray High,2004,Grade 12,263
Colonel Gray Family of Schools,Colonel Gray High,2005,K,0
Colonel Gray Family of Schools,Colonel Gray High,2005,Grade 1,0
Colonel Gray Family of Schools,Colonel Gray High,2005,Grade 2,0
Colonel Gray Family of Schools,Colonel Gray High,2005,Grade 3,0
Colonel Gray Family of Schools,Colonel Gray High,2005,Grade 4,0
Colonel Gray Family of Schools,Colonel Gray High,2005,Grade 5,0
Colonel Gray Family of Schools,Colonel Gray High,2005,Grade 6,0
Colonel Gray Family of Schools,Colonel Gray High,2005,Grade 7,0
Colonel Gray Family of Schools,Colonel Gray High,2005,Grade 8,0
Colonel Gray Family of Schools,Colonel Gray High,2005,Grade 9,0
Colonel Gray Family of Schools,Colonel Gray High,2005,Grade 10,330
Colonel Gray Family of Schools,Colonel Gray High,2005,Grade 11,360
Colonel Gray Family of Schools,Colonel Gray High,2005,Grade 12,273
Colonel Gray Family of Schools,Colonel Gray High,2006,K,0
Colonel Gray Family of Schools,Colonel Gray High,2006,Grade 1,0
Colonel Gray Family of Schools,Colonel Gray High,2006,Grade 2,0
Colonel Gray Family of Schools,Colonel Gray High,2006,Grade 3,0
Colonel Gray Family of Schools,Colonel Gray High,2006,Grade 4,0
Colonel Gray Family of Schools,Colonel Gray High,2006,Grade 5,0
Colonel Gray Family of Schools,Colonel Gray High,2006,Grade 6,0
Colonel Gray Family of Schools,Colonel Gray High,2006,Grade 7,0
Colonel Gray Family of Schools,Colonel Gray High,2006,Grade 8,0
Colonel Gray Family of Schools,Colonel Gray High,2006,Grade 9,0
Colonel Gray Family of Schools,Colonel Gray High,2006,Grade 10,332
Colonel Gray Family of Schools,Colonel Gray High,2006,Grade 11,330
Colonel Gray Family of Schools,Colonel Gray High,2006,Grade 12,306
Colonel Gray Family of Schools,Colonel Gray High,2007,K,0
Colonel Gray Family of Schools,Colonel Gray High,2007,Grade 1,0
Colonel Gray Family of Schools,Colonel Gray High,2007,Grade 2,0
Colonel Gray Family of Schools,Colonel Gray High,2007,Grade 3,0
Colonel Gray Family of Schools,Colonel Gray High,2007,Grade 4,0
Colonel Gray Family of Schools,Colonel Gray High,2007,Grade 5,0
Colonel Gray Family of Schools,Colonel Gray High,2007,Grade 6,0
Colonel Gray Family of Schools,Colonel Gray High,2007,Grade 7,0
Colonel Gray Family of Schools,Colonel Gray High,2007,Grade 8,0
Colonel Gray Family of Schools,Colonel Gray High,2007,Grade 9,0
Colonel Gray Family of Schools,Colonel Gray High,2007,Grade 10,328
Colonel Gray Family of Schools,Colonel Gray High,2007,Grade 11,367
Colonel Gray Family of Schools,Colonel Gray High,2007,Grade 12,269
Colonel Gray Family of Schools,Colonel Gray High,2008,K,0
Colonel Gray Family of Schools,Colonel Gray High,2008,Grade 1,0
Colonel Gray Family of Schools,Colonel Gray High,2008,Grade 2,0
Colonel Gray Family of Schools,Colonel Gray High,2008,Grade 3,0
Colonel Gray Family of Schools,Colonel Gray High,2008,Grade 4,0
Colonel Gray Family of Schools,Colonel Gray High,2008,Grade 5,0
Colonel Gray Family of Schools,Colonel Gray High,2008,Grade 6,0
Colonel Gray Family of Schools,Colonel Gray High,2008,Grade 7,0
Colonel Gray Family of Schools,Colonel Gray High,2008,Grade 8,0
Colonel Gray Family of Schools,Colonel Gray High,2008,Grade 9,0
Colonel Gray Family of Schools,Colonel Gray High,2008,Grade 10,329
Colonel Gray Family of Schools,Colonel Gray High,2008,Grade 11,336
Colonel Gray Family of Schools,Colonel Gray High,2008,Grade 12,305
Colonel Gray Family of Schools,Colonel Gray High,2009,K,0
Colonel Gray Family of Schools,Colonel Gray High,2009,Grade 1,0
Colonel Gray Family of Schools,Colonel Gray High,2009,Grade 2,0
Colonel Gray Family of Schools,Colonel Gray High,2009,Grade 3,0
Colonel Gray Family of Schools,Colonel Gray High,2009,Grade 4,0
Colonel Gray Family of Schools,Colonel Gray High,2009,Grade 5,0
Colonel Gray Family of Schools,Colonel Gray High,2009,Grade 6,0
Colonel Gray Family of Schools,Colonel Gray High,2009,Grade 7,0
Colonel Gray Family of Schools,Colonel Gray High,2009,Grade 8,0
Colonel Gray Family of Schools,Colonel Gray High,2009,Grade 9,0
Colonel Gray Family of Schools,Colonel Gray High,2009,Grade 10,325
Colonel Gray Family of Schools,Colonel Gray High,2009,Grade 11,339
Colonel Gray Family of Schools,Colonel Gray High,2009,Grade 12,280
Colonel Gray Family of Schools,Colonel Gray High,2010,K,0
Colonel Gray Family of Schools,Colonel Gray High,2010,Grade 1,0
Colonel Gray Family of Schools,Colonel Gray High,2010,Grade 2,0
Colonel Gray Family of Schools,Colonel Gray High,2010,Grade 3,0
Colonel Gray Family of Schools,Colonel Gray High,2010,Grade 4,0
Colonel Gray Family of Schools,Colonel Gray High,2010,Grade 5,0
Colonel Gray Family of Schools,Colonel Gray High,2010,Grade 6,0
Colonel Gray Family of Schools,Colonel Gray High,2010,Grade 7,0
Colonel Gray Family of Schools,Colonel Gray High,2010,Grade 8,0
Colonel Gray Family of Schools,Colonel Gray High,2010,Grade 9,0
Colonel Gray Family of Schools,Colonel Gray High,2010,Grade 10,364
Colonel Gray Family of Schools,Colonel Gray High,2010,Grade 11,319
Colonel Gray Family of Schools,Colonel Gray High,2010,Grade 12,318
Colonel Gray Family of Schools,Colonel Gray High,2011,K,0
Colonel Gray Family of Schools,Colonel Gray High,2011,Grade 1,0
Colonel Gray Family of Schools,Colonel Gray High,2011,Grade 2,0
Colonel Gray Family of Schools,Colonel Gray High,2011,Grade 3,0
Colonel Gray Family of Schools,Colonel Gray High,2011,Grade 4,0
Colonel Gray Family of Schools,Colonel Gray High,2011,Grade 5,0
Colonel Gray Family of Schools,Colonel Gray High,2011,Grade 6,0
Colonel Gray Family of Schools,Colonel Gray High,2011,Grade 7,0
Colonel Gray Family of Schools,Colonel Gray High,2011,Grade 8,0
Colonel Gray Family of Schools,Colonel Gray High,2011,Grade 9,0
Colonel Gray Family of Schools,Colonel Gray High,2011,Grade 10,312
Colonel Gray Family of Schools,Colonel Gray High,2011,Grade 11,350
Colonel Gray Family of Schools,Colonel Gray High,2011,Grade 12,299
Colonel Gray Family of Schools,Colonel Gray High,2012,K,0
Colonel Gray Family of Schools,Colonel Gray High,2012,Grade 1,0
Colonel Gray Family of Schools,Colonel Gray High,2012,Grade 2,0
Colonel Gray Family of Schools,Colonel Gray High,2012,Grade 3,0
Colonel Gray Family of Schools,Colonel Gray High,2012,Grade 4,0
Colonel Gray Family of Schools,Colonel Gray High,2012,Grade 5,0
Colonel Gray Family of Schools,Colonel Gray High,2012,Grade 6,0
Colonel Gray Family of Schools,Colonel Gray High,2012,Grade 7,0
Colonel Gray Family of Schools,Colonel Gray High,2012,Grade 8,0
Colonel Gray Family of Schools,Colonel Gray High,2012,Grade 9,0
Colonel Gray Family of Schools,Colonel Gray High,2012,Grade 10,353
Colonel Gray Family of Schools,Colonel Gray High,2012,Grade 11,275
Colonel Gray Family of Schools,Colonel Gray High,2012,Grade 12,319
Colonel Gray Family of Schools,Colonel Gray High,2013,K,0
Colonel Gray Family of Schools,Colonel Gray High,2013,Grade 1,0
Colonel Gray Family of Schools,Colonel Gray High,2013,Grade 2,0
Colonel Gray Family of Schools,Colonel Gray High,2013,Grade 3,0
Colonel Gray Family of Schools,Colonel Gray High,2013,Grade 4,0
Colonel Gray Family of Schools,Colonel Gray High,2013,Grade 5,0
Colonel Gray Family of Schools,Colonel Gray High,2013,Grade 6,0
Colonel Gray Family of Schools,Colonel Gray High,2013,Grade 7,0
Colonel Gray Family of Schools,Colonel Gray High,2013,Grade 8,0
Colonel Gray Family of Schools,Colonel Gray High,2013,Grade 9,0
Colonel Gray Family of Schools,Colonel Gray High,2013,Grade 10,281
Colonel Gray Family of Schools,Colonel Gray High,2013,Grade 11,312
Colonel Gray Family of Schools,Colonel Gray High,2013,Grade 12,291
Colonel Gray Family of Schools,Colonel Gray High,2014,K,0
Colonel Gray Family of Schools,Colonel Gray High,2014,Grade 1,0
Colonel Gray Family of Schools,Colonel Gray High,2014,Grade 2,0
Colonel Gray Family of Schools,Colonel Gray High,2014,Grade 3,0
Colonel Gray Family of Schools,Colonel Gray High,2014,Grade 4,0
Colonel Gray Family of Schools,Colonel Gray High,2014,Grade 5,0
Colonel Gray Family of Schools,Colonel Gray High,2014,Grade 6,0
Colonel Gray Family of Schools,Colonel Gray High,2014,Grade 7,0
Colonel Gray Family of Schools,Colonel Gray High,2014,Grade 8,0
Colonel Gray Family of Schools,Colonel Gray High,2014,Grade 9,0
Colonel Gray Family of Schools,Colonel Gray High,2014,Grade 10,282
Colonel Gray Family of Schools,Colonel Gray High,2014,Grade 11,267
Colonel Gray Family of Schools,Colonel Gray High,2014,Grade 12,317
Colonel Gray Family of Schools,Colonel Gray High,2015,K,0
Colonel Gray Family of Schools,Colonel Gray High,2015,Grade 1,0
Colonel Gray Family of Schools,Colonel Gray High,2015,Grade 2,0
Colonel Gray Family of Schools,Colonel Gray High,2015,Grade 3,0
Colonel Gray Family of Schools,Colonel Gray High,2015,Grade 4,0
Colonel Gray Family of Schools,Colonel Gray High,2015,Grade 5,0
Colonel Gray Family of Schools,Colonel Gray High,2015,Grade 6,0
Colonel Gray Family of Schools,Colonel Gray High,2015,Grade 7,0
Colonel Gray Family of Schools,Colonel Gray High,2015,Grade 8,0
Colonel Gray Family of Schools,Colonel Gray High,2015,Grade 9,0
Colonel Gray Family of Schools,Colonel Gray High,2015,Grade 10,307
Colonel Gray Family of Schools,Colonel Gray High,2015,Grade 11,265
Colonel Gray Family of Schools,Colonel Gray High,2015,Grade 12,273
Charlottetown Rural Family of Schools,Donagh Regional,1999,K,0
Charlottetown Rural Family of Schools,Donagh Regional,1999,Grade 1,18
Charlottetown Rural Family of Schools,Donagh Regional,1999,Grade 2,21
Charlottetown Rural Family of Schools,Donagh Regional,1999,Grade 3,21
Charlottetown Rural Family of Schools,Donagh Regional,1999,Grade 4,22
Charlottetown Rural Family of Schools,Donagh Regional,1999,Grade 5,23
Charlottetown Rural Family of Schools,Donagh Regional,1999,Grade 6,22
Charlottetown Rural Family of Schools,Donagh Regional,1999,Grade 7,13
Charlottetown Rural Family of Schools,Donagh Regional,1999,Grade 8,20
Charlottetown Rural Family of Schools,Donagh Regional,1999,Grade 9,18
Charlottetown Rural Family of Schools,Donagh Regional,1999,Grade 10,0
Charlottetown Rural Family of Schools,Donagh Regional,1999,Grade 11,0
Charlottetown Rural Family of Schools,Donagh Regional,1999,Grade 12,0
Charlottetown Rural Family of Schools,Donagh Regional,2000,K,0
Charlottetown Rural Family of Schools,Donagh Regional,2000,Grade 1,22
Charlottetown Rural Family of Schools,Donagh Regional,2000,Grade 2,18
Charlottetown Rural Family of Schools,Donagh Regional,2000,Grade 3,18
Charlottetown Rural Family of Schools,Donagh Regional,2000,Grade 4,20
Charlottetown Rural Family of Schools,Donagh Regional,2000,Grade 5,23
Charlottetown Rural Family of Schools,Donagh Regional,2000,Grade 6,21
Charlottetown Rural Family of Schools,Donagh Regional,2000,Grade 7,13
Charlottetown Rural Family of Schools,Donagh Regional,2000,Grade 8,13
Charlottetown Rural Family of Schools,Donagh Regional,2000,Grade 9,20
Charlottetown Rural Family of Schools,Donagh Regional,2000,Grade 10,0
Charlottetown Rural Family of Schools,Donagh Regional,2000,Grade 11,0
Charlottetown Rural Family of Schools,Donagh Regional,2000,Grade 12,0
Charlottetown Rural Family of Schools,Donagh Regional,2001,K,0
Charlottetown Rural Family of Schools,Donagh Regional,2001,Grade 1,21
Charlottetown Rural Family of Schools,Donagh Regional,2001,Grade 2,21
Charlottetown Rural Family of Schools,Donagh Regional,2001,Grade 3,19
Charlottetown Rural Family of Schools,Donagh Regional,2001,Grade 4,18
Charlottetown Rural Family of Schools,Donagh Regional,2001,Grade 5,18
Charlottetown Rural Family of Schools,Donagh Regional,2001,Grade 6,26
Charlottetown Rural Family of Schools,Donagh Regional,2001,Grade 7,18
Charlottetown Rural Family of Schools,Donagh Regional,2001,Grade 8,13
Charlottetown Rural Family of Schools,Donagh Regional,2001,Grade 9,12
Charlottetown Rural Family of Schools,Donagh Regional,2001,Grade 10,0
Charlottetown Rural Family of Schools,Donagh Regional,2001,Grade 11,0
Charlottetown Rural Family of Schools,Donagh Regional,2001,Grade 12,0
Charlottetown Rural Family of Schools,Donagh Regional,2002,K,0
Charlottetown Rural Family of Schools,Donagh Regional,2002,Grade 1,18
Charlottetown Rural Family of Schools,Donagh Regional,2002,Grade 2,19
Charlottetown Rural Family of Schools,Donagh Regional,2002,Grade 3,19
Charlottetown Rural Family of Schools,Donagh Regional,2002,Grade 4,18
Charlottetown Rural Family of Schools,Donagh Regional,2002,Grade 5,17
Charlottetown Rural Family of Schools,Donagh Regional,2002,Grade 6,19
Charlottetown Rural Family of Schools,Donagh Regional,2002,Grade 7,19
Charlottetown Rural Family of Schools,Donagh Regional,2002,Grade 8,18
Charlottetown Rural Family of Schools,Donagh Regional,2002,Grade 9,16
Charlottetown Rural Family of Schools,Donagh Regional,2002,Grade 10,0
Charlottetown Rural Family of Schools,Donagh Regional,2002,Grade 11,0
Charlottetown Rural Family of Schools,Donagh Regional,2002,Grade 12,0
Charlottetown Rural Family of Schools,Donagh Regional,2003,K,0
Charlottetown Rural Family of Schools,Donagh Regional,2003,Grade 1,16
Charlottetown Rural Family of Schools,Donagh Regional,2003,Grade 2,20
Charlottetown Rural Family of Schools,Donagh Regional,2003,Grade 3,18
Charlottetown Rural Family of Schools,Donagh Regional,2003,Grade 4,22
Charlottetown Rural Family of Schools,Donagh Regional,2003,Grade 5,19
Charlottetown Rural Family of Schools,Donagh Regional,2003,Grade 6,18
Charlottetown Rural Family of Schools,Donagh Regional,2003,Grade 7,14
Charlottetown Rural Family of Schools,Donagh Regional,2003,Grade 8,18
Charlottetown Rural Family of Schools,Donagh Regional,2003,Grade 9,16
Charlottetown Rural Family of Schools,Donagh Regional,2003,Grade 10,0
Charlottetown Rural Family of Schools,Donagh Regional,2003,Grade 11,0
Charlottetown Rural Family of Schools,Donagh Regional,2003,Grade 12,0
Charlottetown Rural Family of Schools,Donagh Regional,2004,K,0
Charlottetown Rural Family of Schools,Donagh Regional,2004,Grade 1,16
Charlottetown Rural Family of Schools,Donagh Regional,2004,Grade 2,16
Charlottetown Rural Family of Schools,Donagh Regional,2004,Grade 3,21
Charlottetown Rural Family of Schools,Donagh Regional,2004,Grade 4,20
Charlottetown Rural Family of Schools,Donagh Regional,2004,Grade 5,22
Charlottetown Rural Family of Schools,Donagh Regional,2004,Grade 6,19
Charlottetown Rural Family of Schools,Donagh Regional,2004,Grade 7,7
Charlottetown Rural Family of Schools,Donagh Regional,2004,Grade 8,13
Charlottetown Rural Family of Schools,Donagh Regional,2004,Grade 9,17
Charlottetown Rural Family of Schools,Donagh Regional,2004,Grade 10,0
Charlottetown Rural Family of Schools,Donagh Regional,2004,Grade 11,0
Charlottetown Rural Family of Schools,Donagh Regional,2004,Grade 12,0
Charlottetown Rural Family of Schools,Donagh Regional,2005,K,0
Charlottetown Rural Family of Schools,Donagh Regional,2005,Grade 1,23
Charlottetown Rural Family of Schools,Donagh Regional,2005,Grade 2,16
Charlottetown Rural Family of Schools,Donagh Regional,2005,Grade 3,16
Charlottetown Rural Family of Schools,Donagh Regional,2005,Grade 4,19
Charlottetown Rural Family of Schools,Donagh Regional,2005,Grade 5,23
Charlottetown Rural Family of Schools,Donagh Regional,2005,Grade 6,22
Charlottetown Rural Family of Schools,Donagh Regional,2005,Grade 7,12
Charlottetown Rural Family of Schools,Donagh Regional,2005,Grade 8,6
Charlottetown Rural Family of Schools,Donagh Regional,2005,Grade 9,12
Charlottetown Rural Family of Schools,Donagh Regional,2005,Grade 10,0
Charlottetown Rural Family of Schools,Donagh Regional,2005,Grade 11,0
Charlottetown Rural Family of Schools,Donagh Regional,2005,Grade 12,0
Charlottetown Rural Family of Schools,Donagh Regional,2006,K,0
Charlottetown Rural Family of Schools,Donagh Regional,2006,Grade 1,11
Charlottetown Rural Family of Schools,Donagh Regional,2006,Grade 2,25
Charlottetown Rural Family of Schools,Donagh Regional,2006,Grade 3,15
Charlottetown Rural Family of Schools,Donagh Regional,2006,Grade 4,15
Charlottetown Rural Family of Schools,Donagh Regional,2006,Grade 5,17
Charlottetown Rural Family of Schools,Donagh Regional,2006,Grade 6,24
Charlottetown Rural Family of Schools,Donagh Regional,2006,Grade 7,18
Charlottetown Rural Family of Schools,Donagh Regional,2006,Grade 8,10
Charlottetown Rural Family of Schools,Donagh Regional,2006,Grade 9,12
Charlottetown Rural Family of Schools,Donagh Regional,2006,Grade 10,0
Charlottetown Rural Family of Schools,Donagh Regional,2006,Grade 11,0
Charlottetown Rural Family of Schools,Donagh Regional,2006,Grade 12,0
Charlottetown Rural Family of Schools,Donagh Regional,2007,K,0
Charlottetown Rural Family of Schools,Donagh Regional,2007,Grade 1,14
Charlottetown Rural Family of Schools,Donagh Regional,2007,Grade 2,13
Charlottetown Rural Family of Schools,Donagh Regional,2007,Grade 3,22
Charlottetown Rural Family of Schools,Donagh Regional,2007,Grade 4,17
Charlottetown Rural Family of Schools,Donagh Regional,2007,Grade 5,15
Charlottetown Rural Family of Schools,Donagh Regional,2007,Grade 6,15
Charlottetown Rural Family of Schools,Donagh Regional,2007,Grade 7,14
Charlottetown Rural Family of Schools,Donagh Regional,2007,Grade 8,19
Charlottetown Rural Family of Schools,Donagh Regional,2007,Grade 9,10
Charlottetown Rural Family of Schools,Donagh Regional,2007,Grade 10,0
Charlottetown Rural Family of Schools,Donagh Regional,2007,Grade 11,0
Charlottetown Rural Family of Schools,Donagh Regional,2007,Grade 12,0
Charlottetown Rural Family of Schools,Donagh Regional,2008,K,0
Charlottetown Rural Family of Schools,Donagh Regional,2008,Grade 1,21
Charlottetown Rural Family of Schools,Donagh Regional,2008,Grade 2,15
Charlottetown Rural Family of Schools,Donagh Regional,2008,Grade 3,13
Charlottetown Rural Family of Schools,Donagh Regional,2008,Grade 4,22
Charlottetown Rural Family of Schools,Donagh Regional,2008,Grade 5,19
Charlottetown Rural Family of Schools,Donagh Regional,2008,Grade 6,15
Charlottetown Rural Family of Schools,Donagh Regional,2008,Grade 7,6
Charlottetown Rural Family of Schools,Donagh Regional,2008,Grade 8,14
Charlottetown Rural Family of Schools,Donagh Regional,2008,Grade 9,18
Charlottetown Rural Family of Schools,Donagh Regional,2008,Grade 10,0
Charlottetown Rural Family of Schools,Donagh Regional,2008,Grade 11,0
Charlottetown Rural Family of Schools,Donagh Regional,2008,Grade 12,0
Charlottetown Rural Family of Schools,Donagh Regional,2009,K,0
Charlottetown Rural Family of Schools,Donagh Regional,2009,Grade 1,21
Charlottetown Rural Family of Schools,Donagh Regional,2009,Grade 2,22
Charlottetown Rural Family of Schools,Donagh Regional,2009,Grade 3,16
Charlottetown Rural Family of Schools,Donagh Regional,2009,Grade 4,14
Charlottetown Rural Family of Schools,Donagh Regional,2009,Grade 5,21
Charlottetown Rural Family of Schools,Donagh Regional,2009,Grade 6,19
Charlottetown Rural Family of Schools,Donagh Regional,2009,Grade 7,8
Charlottetown Rural Family of Schools,Donagh Regional,2009,Grade 8,5
Charlottetown Rural Family of Schools,Donagh Regional,2009,Grade 9,15
Charlottetown Rural Family of Schools,Donagh Regional,2009,Grade 10,0
Charlottetown Rural Family of Schools,Donagh Regional,2009,Grade 11,0
Charlottetown Rural Family of Schools,Donagh Regional,2009,Grade 12,0
Charlottetown Rural Family of Schools,Donagh Regional,2010,K,17
Charlottetown Rural Family of Schools,Donagh Regional,2010,Grade 1,20
Charlottetown Rural Family of Schools,Donagh Regional,2010,Grade 2,21
Charlottetown Rural Family of Schools,Donagh Regional,2010,Grade 3,19
Charlottetown Rural Family of Schools,Donagh Regional,2010,Grade 4,16
Charlottetown Rural Family of Schools,Donagh Regional,2010,Grade 5,14
Charlottetown Rural Family of Schools,Donagh Regional,2010,Grade 6,22
Charlottetown Rural Family of Schools,Donagh Regional,2010,Grade 7,2
Charlottetown Rural Family of Schools,Donagh Regional,2010,Grade 8,9
Charlottetown Rural Family of Schools,Donagh Regional,2010,Grade 9,6
Charlottetown Rural Family of Schools,Donagh Regional,2010,Grade 10,0
Charlottetown Rural Family of Schools,Donagh Regional,2010,Grade 11,0
Charlottetown Rural Family of Schools,Donagh Regional,2010,Grade 12,0
Charlottetown Rural Family of Schools,Donagh Regional,2011,K,15
Charlottetown Rural Family of Schools,Donagh Regional,2011,Grade 1,17
Charlottetown Rural Family of Schools,Donagh Regional,2011,Grade 2,21
Charlottetown Rural Family of Schools,Donagh Regional,2011,Grade 3,21
Charlottetown Rural Family of Schools,Donagh Regional,2011,Grade 4,19
Charlottetown Rural Family of Schools,Donagh Regional,2011,Grade 5,15
Charlottetown Rural Family of Schools,Donagh Regional,2011,Grade 6,15
Charlottetown Rural Family of Schools,Donagh Regional,2011,Grade 7,4
Charlottetown Rural Family of Schools,Donagh Regional,2011,Grade 8,0
Charlottetown Rural Family of Schools,Donagh Regional,2011,Grade 9,10
Charlottetown Rural Family of Schools,Donagh Regional,2011,Grade 10,0
Charlottetown Rural Family of Schools,Donagh Regional,2011,Grade 11,0
Charlottetown Rural Family of Schools,Donagh Regional,2011,Grade 12,0
Charlottetown Rural Family of Schools,Donagh Regional,2012,K,15
Charlottetown Rural Family of Schools,Donagh Regional,2012,Grade 1,14
Charlottetown Rural Family of Schools,Donagh Regional,2012,Grade 2,17
Charlottetown Rural Family of Schools,Donagh Regional,2012,Grade 3,20
Charlottetown Rural Family of Schools,Donagh Regional,2012,Grade 4,23
Charlottetown Rural Family of Schools,Donagh Regional,2012,Grade 5,20
Charlottetown Rural Family of Schools,Donagh Regional,2012,Grade 6,16
Charlottetown Rural Family of Schools,Donagh Regional,2012,Grade 7,0
Charlottetown Rural Family of Schools,Donagh Regional,2012,Grade 8,0
Charlottetown Rural Family of Schools,Donagh Regional,2012,Grade 9,0
Charlottetown Rural Family of Schools,Donagh Regional,2012,Grade 10,0
Charlottetown Rural Family of Schools,Donagh Regional,2012,Grade 11,0
Charlottetown Rural Family of Schools,Donagh Regional,2012,Grade 12,0
Charlottetown Rural Family of Schools,Donagh Regional,2013,K,18
Charlottetown Rural Family of Schools,Donagh Regional,2013,Grade 1,15
Charlottetown Rural Family of Schools,Donagh Regional,2013,Grade 2,14
Charlottetown Rural Family of Schools,Donagh Regional,2013,Grade 3,19
Charlottetown Rural Family of Schools,Donagh Regional,2013,Grade 4,22
Charlottetown Rural Family of Schools,Donagh Regional,2013,Grade 5,21
Charlottetown Rural Family of Schools,Donagh Regional,2013,Grade 6,17
Charlottetown Rural Family of Schools,Donagh Regional,2013,Grade 7,0
Charlottetown Rural Family of Schools,Donagh Regional,2013,Grade 8,0
Charlottetown Rural Family of Schools,Donagh Regional,2013,Grade 9,0
Charlottetown Rural Family of Schools,Donagh Regional,2013,Grade 10,0
Charlottetown Rural Family of Schools,Donagh Regional,2013,Grade 11,0
Charlottetown Rural Family of Schools,Donagh Regional,2013,Grade 12,0
Charlottetown Rural Family of Schools,Donagh Regional,2014,K,20
Charlottetown Rural Family of Schools,Donagh Regional,2014,Grade 1,16
Charlottetown Rural Family of Schools,Donagh Regional,2014,Grade 2,14
Charlottetown Rural Family of Schools,Donagh Regional,2014,Grade 3,11
Charlottetown Rural Family of Schools,Donagh Regional,2014,Grade 4,18
Charlottetown Rural Family of Schools,Donagh Regional,2014,Grade 5,20
Charlottetown Rural Family of Schools,Donagh Regional,2014,Grade 6,23
Charlottetown Rural Family of Schools,Donagh Regional,2014,Grade 7,0
Charlottetown Rural Family of Schools,Donagh Regional,2014,Grade 8,0
Charlottetown Rural Family of Schools,Donagh Regional,2014,Grade 9,0
Charlottetown Rural Family of Schools,Donagh Regional,2014,Grade 10,0
Charlottetown Rural Family of Schools,Donagh Regional,2014,Grade 11,0
Charlottetown Rural Family of Schools,Donagh Regional,2014,Grade 12,0
Charlottetown Rural Family of Schools,Donagh Regional,2015,K,16
Charlottetown Rural Family of Schools,Donagh Regional,2015,Grade 1,22
Charlottetown Rural Family of Schools,Donagh Regional,2015,Grade 2,14
Charlottetown Rural Family of Schools,Donagh Regional,2015,Grade 3,15
Charlottetown Rural Family of Schools,Donagh Regional,2015,Grade 4,12
Charlottetown Rural Family of Schools,Donagh Regional,2015,Grade 5,18
Charlottetown Rural Family of Schools,Donagh Regional,2015,Grade 6,19
Charlottetown Rural Family of Schools,Donagh Regional,2015,Grade 7,0
Charlottetown Rural Family of Schools,Donagh Regional,2015,Grade 8,0
Charlottetown Rural Family of Schools,Donagh Regional,2015,Grade 9,0
Charlottetown Rural Family of Schools,Donagh Regional,2015,Grade 10,0
Charlottetown Rural Family of Schools,Donagh Regional,2015,Grade 11,0
Charlottetown Rural Family of Schools,Donagh Regional,2015,Grade 12,0
Bluefield Family of Schools,East Wiltshire Intermediate,1999,K,0
Bluefield Family of Schools,East Wiltshire Intermediate,1999,Grade 1,0
Bluefield Family of Schools,East Wiltshire Intermediate,1999,Grade 2,0
Bluefield Family of Schools,East Wiltshire Intermediate,1999,Grade 3,0
Bluefield Family of Schools,East Wiltshire Intermediate,1999,Grade 4,0
Bluefield Family of Schools,East Wiltshire Intermediate,1999,Grade 5,0
Bluefield Family of Schools,East Wiltshire Intermediate,1999,Grade 6,0
Bluefield Family of Schools,East Wiltshire Intermediate,1999,Grade 7,187
Bluefield Family of Schools,East Wiltshire Intermediate,1999,Grade 8,241
Bluefield Family of Schools,East Wiltshire Intermediate,1999,Grade 9,198
Bluefield Family of Schools,East Wiltshire Intermediate,1999,Grade 10,0
Bluefield Family of Schools,East Wiltshire Intermediate,1999,Grade 11,0
Bluefield Family of Schools,East Wiltshire Intermediate,1999,Grade 12,0
Bluefield Family of Schools,East Wiltshire Intermediate,2000,K,0
Bluefield Family of Schools,East Wiltshire Intermediate,2000,Grade 1,0
Bluefield Family of Schools,East Wiltshire Intermediate,2000,Grade 2,0
Bluefield Family of Schools,East Wiltshire Intermediate,2000,Grade 3,0
Bluefield Family of Schools,East Wiltshire Intermediate,2000,Grade 4,0
Bluefield Family of Schools,East Wiltshire Intermediate,2000,Grade 5,0
