School,Year,Level,Size
Colonel Gray Family of Schools,Birchwood Intermediate,2005,K,0
Colonel Gray Family of Schools,Birchwood Intermediate,2005,Grade 1,0
Colonel Gray Family of Schools,Birchwood Intermediate,2005,Grade 2,0
Colonel Gray Family of Schools,Birchwood Intermediate,2005,Grade 3,0
Colonel Gray Family of Schools,Birchwood Intermediate,2005,Grade 4,0
Colonel Gray Family of Schools,Birchwood Intermediate,2005,Grade 5,0
Colonel Gray Family of Schools,Birchwood Intermediate,2005,Grade 6,0
Colonel Gray Family of Schools,Birchwood Intermediate,2005,Grade 7,146
Colonel Gray Family of Schools,Birchwood Intermediate,2005,Grade 8,145
Colonel Gray Family of Schools,Birchwood Intermediate,2005,Grade 9,137
Colonel Gray Family of Schools,Birchwood Intermediate,2005,Grade 10,0
Colonel Gray Family of Schools,Birchwood Intermediate,2005,Grade 11,0
Colonel Gray Family of Schools,Birchwood Intermediate,2005,Grade 12,0
Colonel Gray Family of Schools,Birchwood Intermediate,2006,K,0
Colonel Gray Family of Schools,Birchwood Intermediate,2006,Grade 1,0
Colonel Gray Family of Schools,Birchwood Intermediate,2006,Grade 2,0
Colonel Gray Family of Schools,Birchwood Intermediate,2006,Grade 3,0
Colonel Gray Family of Schools,Birchwood Intermediate,2006,Grade 4,0
Colonel Gray Family of Schools,Birchwood Intermediate,2006,Grade 5,0
Colonel Gray Family of Schools,Birchwood Intermediate,2006,Grade 6,0
Colonel Gray Family of Schools,Birchwood Intermediate,2006,Grade 7,100
Colonel Gray Family of Schools,Birchwood Intermediate,2006,Grade 8,141
Colonel Gray Family of Schools,Birchwood Intermediate,2006,Grade 9,141
Colonel Gray Family of Schools,Birchwood Intermediate,2006,Grade 10,0
Colonel Gray Family of Schools,Birchwood Intermediate,2006,Grade 11,0
Colonel Gray Family of Schools,Birchwood Intermediate,2006,Grade 12,0
Colonel Gray Family of Schools,Birchwood Intermediate,2007,K,0
Colonel Gray Family of Schools,Birchwood Intermediate,2007,Grade 1,0
Colonel Gray Family of Schools,Birchwood Intermediate,2007,Grade 2,0
Colonel Gray Family of Schools,Birchwood Intermediate,2007,Grade 3,0
Colonel Gray Family of Schools,Birchwood Intermediate,2007,Grade 4,0
Colonel Gray Family of Schools,Birchwood Intermediate,2007,Grade 5,0
Colonel Gray Family of Schools,Birchwood Intermediate,2007,Grade 6,0
Colonel Gray Family of Schools,Birchwood Intermediate,2007,Grade 7,100
Colonel Gray Family of Schools,Birchwood Intermediate,2007,Grade 8,104
Colonel Gray Family of Schools,Birchwood Intermediate,2007,Grade 9,150
Colonel Gray Family of Schools,Birchwood Intermediate,2007,Grade 10,0
Colonel Gray Family of Schools,Birchwood Intermediate,2007,Grade 11,0
Colonel Gray Family of Schools,Birchwood Intermediate,2007,Grade 12,0
Colonel Gray Family of Schools,Birchwood Intermediate,2008,K,0
Colonel Gray Family of Schools,Birchwood Intermediate,2008,Grade 1,0
Colonel Gray Family of Schools,Birchwood Intermediate,2008,Grade 2,0
Colonel Gray Family of Schools,Birchwood Intermediate,2008,Grade 3,0
Colonel Gray Family of Schools,Birchwood Intermediate,2008,Grade 4,0
Colonel Gray Family of Schools,Birchwood Intermediate,2008,Grade 5,0
Colonel Gray Family of Schools,Birchwood Intermediate,2008,Grade 6,0
Colonel Gray Family of Schools,Birchwood Intermediate,2008,Grade 7,92
Colonel Gray Family of Schools,Birchwood Intermediate,2008,Grade 8,105
Colonel Gray Family of Schools,Birchwood Intermediate,2008,Grade 9,109
Colonel Gray Family of Schools,Birchwood Intermediate,2008,Grade 10,0
Colonel Gray Family of Schools,Birchwood Intermediate,2008,Grade 11,0
Colonel Gray Family of Schools,Birchwood Intermediate,2008,Grade 12,0
Colonel Gray Family of Schools,Birchwood Intermediate,2009,K,0
Colonel Gray Family of Schools,Birchwood Intermediate,2009,Grade 1,0
Colonel Gray Family of Schools,Birchwood Intermediate,2009,Grade 2,0
Colonel Gray Family of Schools,Birchwood Intermediate,2009,Grade 3,0
Colonel Gray Family of Schools,Birchwood Intermediate,2009,Grade 4,0
Colonel Gray Family of Schools,Birchwood Intermediate,2009,Grade 5,0
Colonel Gray Family of Schools,Birchwood Intermediate,2009,Grade 6,0
Colonel Gray Family of Schools,Birchwood Intermediate,2009,Grade 7,93
Colonel Gray Family of Schools,Birchwood Intermediate,2009,Grade 8,101
Colonel Gray Family of Schools,Birchwood Intermediate,2009,Grade 9,102
Colonel Gray Family of Schools,Birchwood Intermediate,2009,Grade 10,0
Colonel Gray Family of Schools,Birchwood Intermediate,2009,Grade 11,0
Colonel Gray Family of Schools,Birchwood Intermediate,2009,Grade 12,0
Colonel Gray Family of Schools,Birchwood Intermediate,2010,K,0
Colonel Gray Family of Schools,Birchwood Intermediate,2010,Grade 1,0
Colonel Gray Family of Schools,Birchwood Intermediate,2010,Grade 2,0
Colonel Gray Family of Schools,Birchwood Intermediate,2010,Grade 3,0
Colonel Gray Family of Schools,Birchwood Intermediate,2010,Grade 4,0
Colonel Gray Family of Schools,Birchwood Intermediate,2010,Grade 5,0
Colonel Gray Family of Schools,Birchwood Intermediate,2010,Grade 6,0
Colonel Gray Family of Schools,Birchwood Intermediate,2010,Grade 7,80
Colonel Gray Family of Schools,Birchwood Intermediate,2010,Grade 8,94
Colonel Gray Family of Schools,Birchwood Intermediate,2010,Grade 9,109
Colonel Gray Family of Schools,Birchwood Intermediate,2010,Grade 10,0
Colonel Gray Family of Schools,Birchwood Intermediate,2010,Grade 11,0
Colonel Gray Family of Schools,Birchwood Intermediate,2010,Grade 12,0
Colonel Gray Family of Schools,Birchwood Intermediate,2011,K,0
Colonel Gray Family of Schools,Birchwood Intermediate,2011,Grade 1,0
Colonel Gray Family of Schools,Birchwood Intermediate,2011,Grade 2,0
Colonel Gray Family of Schools,Birchwood Intermediate,2011,Grade 3,0
Colonel Gray Family of Schools,Birchwood Intermediate,2011,Grade 4,0
Colonel Gray Family of Schools,Birchwood Intermediate,2011,Grade 5,0
Colonel Gray Family of Schools,Birchwood Intermediate,2011,Grade 6,0
Colonel Gray Family of Schools,Birchwood Intermediate,2011,Grade 7,55
Colonel Gray Family of Schools,Birchwood Intermediate,2011,Grade 8,84
Colonel Gray Family of Schools,Birchwood Intermediate,2011,Grade 9,101
Colonel Gray Family of Schools,Birchwood Intermediate,2011,Grade 10,0
Colonel Gray Family of Schools,Birchwood Intermediate,2011,Grade 11,0
Colonel Gray Family of Schools,Birchwood Intermediate,2011,Grade 12,0
Colonel Gray Family of Schools,Birchwood Intermediate,2012,K,0
Colonel Gray Family of Schools,Birchwood Intermediate,2012,Grade 1,0
Colonel Gray Family of Schools,Birchwood Intermediate,2012,Grade 2,0
Colonel Gray Family of Schools,Birchwood Intermediate,2012,Grade 3,0
Colonel Gray Family of Schools,Birchwood Intermediate,2012,Grade 4,0
Colonel Gray Family of Schools,Birchwood Intermediate,2012,Grade 5,0
Colonel Gray Family of Schools,Birchwood Intermediate,2012,Grade 6,0
Colonel Gray Family of Schools,Birchwood Intermediate,2012,Grade 7,85
Colonel Gray Family of Schools,Birchwood Intermediate,2012,Grade 8,66
Colonel Gray Family of Schools,Birchwood Intermediate,2012,Grade 9,81
Colonel Gray Family of Schools,Birchwood Intermediate,2012,Grade 10,0
Colonel Gray Family of Schools,Birchwood Intermediate,2012,Grade 11,0
Colonel Gray Family of Schools,Birchwood Intermediate,2012,Grade 12,0
Colonel Gray Family of Schools,Birchwood Intermediate,2013,K,0
Colonel Gray Family of Schools,Birchwood Intermediate,2013,Grade 1,0
Colonel Gray Family of Schools,Birchwood Intermediate,2013,Grade 2,0
Colonel Gray Family of Schools,Birchwood Intermediate,2013,Grade 3,0
Colonel Gray Family of Schools,Birchwood Intermediate,2013,Grade 4,0
Colonel Gray Family of Schools,Birchwood Intermediate,2013,Grade 5,0
Colonel Gray Family of Schools,Birchwood Intermediate,2013,Grade 6,0
Colonel Gray Family of Schools,Birchwood Intermediate,2013,Grade 7,66
Colonel Gray Family of Schools,Birchwood Intermediate,2013,Grade 8,85
Colonel Gray Family of Schools,Birchwood Intermediate,2013,Grade 9,67
Colonel Gray Family of Schools,Birchwood Intermediate,2013,Grade 10,0
Colonel Gray Family of Schools,Birchwood Intermediate,2013,Grade 11,0
Colonel Gray Family of Schools,Birchwood Intermediate,2013,Grade 12,0
Colonel Gray Family of Schools,Birchwood Intermediate,2014,K,0
Colonel Gray Family of Schools,Birchwood Intermediate,2014,Grade 1,0
Colonel Gray Family of Schools,Birchwood Intermediate,2014,Grade 2,0
Colonel Gray Family of Schools,Birchwood Intermediate,2014,Grade 3,0
Colonel Gray Family of Schools,Birchwood Intermediate,2014,Grade 4,0
Colonel Gray Family of Schools,Birchwood Intermediate,2014,Grade 5,0
Colonel Gray Family of Schools,Birchwood Intermediate,2014,Grade 6,0
Colonel Gray Family of Schools,Birchwood Intermediate,2014,Grade 7,60
Colonel Gray Family of Schools,Birchwood Intermediate,2014,Grade 8,65
Colonel Gray Family of Schools,Birchwood Intermediate,2014,Grade 9,88
Colonel Gray Family of Schools,Birchwood Intermediate,2014,Grade 10,0
Colonel Gray Family of Schools,Birchwood Intermediate,2014,Grade 11,0
Colonel Gray Family of Schools,Birchwood Intermediate,2014,Grade 12,0
Colonel Gray Family of Schools,Birchwood Intermediate,2015,K,0
Colonel Gray Family of Schools,Birchwood Intermediate,2015,Grade 1,0
Colonel Gray Family of Schools,Birchwood Intermediate,2015,Grade 2,0
Colonel Gray Family of Schools,Birchwood Intermediate,2015,Grade 3,0
Colonel Gray Family of Schools,Birchwood Intermediate,2015,Grade 4,0
Colonel Gray Family of Schools,Birchwood Intermediate,2015,Grade 5,0
Colonel Gray Family of Schools,Birchwood Intermediate,2015,Grade 6,0
Colonel Gray Family of Schools,Birchwood Intermediate,2015,Grade 7,74
Colonel Gray Family of Schools,Birchwood Intermediate,2015,Grade 8,67
Colonel Gray Family of Schools,Birchwood Intermediate,2015,Grade 9,70
Colonel Gray Family of Schools,Birchwood Intermediate,2015,Grade 10,0
Colonel Gray Family of Schools,Birchwood Intermediate,2015,Grade 11,0
Colonel Gray Family of Schools,Birchwood Intermediate,2015,Grade 12,0
Bluefield Family of Schools,Bluefield High,1999,K,0
Bluefield Family of Schools,Bluefield High,1999,Grade 1,0
Bluefield Family of Schools,Bluefield High,1999,Grade 2,0
Bluefield Family of Schools,Bluefield High,1999,Grade 3,0
Bluefield Family of Schools,Bluefield High,1999,Grade 4,0
Bluefield Family of Schools,Bluefield High,1999,Grade 5,0
Bluefield Family of Schools,Bluefield High,1999,Grade 6,0
Bluefield Family of Schools,Bluefield High,1999,Grade 7,0
Bluefield Family of Schools,Bluefield High,1999,Grade 8,0
Bluefield Family of Schools,Bluefield High,1999,Grade 9,0
Bluefield Family of Schools,Bluefield High,1999,Grade 10,258
Bluefield Family of Schools,Bluefield High,1999,Grade 11,288
Bluefield Family of Schools,Bluefield High,1999,Grade 12,280
Bluefield Family of Schools,Bluefield High,2000,K,0
Bluefield Family of Schools,Bluefield High,2000,Grade 1,0
Bluefield Family of Schools,Bluefield High,2000,Grade 2,0
Bluefield Family of Schools,Bluefield High,2000,Grade 3,0
Bluefield Family of Schools,Bluefield High,2000,Grade 4,0
Bluefield Family of Schools,Bluefield High,2000,Grade 5,0
Bluefield Family of Schools,Bluefield High,2000,Grade 6,0
Bluefield Family of Schools,Bluefield High,2000,Grade 7,0
Bluefield Family of Schools,Bluefield High,2000,Grade 8,0
Bluefield Family of Schools,Bluefield High,2000,Grade 9,0
Bluefield Family of Schools,Bluefield High,2000,Grade 10,277
Bluefield Family of Schools,Bluefield High,2000,Grade 11,277
Bluefield Family of Schools,Bluefield High,2000,Grade 12,253
Bluefield Family of Schools,Bluefield High,2001,K,0
Bluefield Family of Schools,Bluefield High,2001,Grade 1,0
Bluefield Family of Schools,Bluefield High,2001,Grade 2,0
Bluefield Family of Schools,Bluefield High,2001,Grade 3,0
Bluefield Family of Schools,Bluefield High,2001,Grade 4,0
Bluefield Family of Schools,Bluefield High,2001,Grade 5,0
Bluefield Family of Schools,Bluefield High,2001,Grade 6,0
Bluefield Family of Schools,Bluefield High,2001,Grade 7,0
Bluefield Family of Schools,Bluefield High,2001,Grade 8,0
Bluefield Family of Schools,Bluefield High,2001,Grade 9,0
Bluefield Family of Schools,Bluefield High,2001,Grade 10,333
Bluefield Family of Schools,Bluefield High,2001,Grade 11,270
Bluefield Family of Schools,Bluefield High,2001,Grade 12,247
Bluefield Family of Schools,Bluefield High,2002,K,0
Bluefield Family of Schools,Bluefield High,2002,Grade 1,0
Bluefield Family of Schools,Bluefield High,2002,Grade 2,0
Bluefield Family of Schools,Bluefield High,2002,Grade 3,0
Bluefield Family of Schools,Bluefield High,2002,Grade 4,0
Bluefield Family of Schools,Bluefield High,2002,Grade 5,0
Bluefield Family of Schools,Bluefield High,2002,Grade 6,0
Bluefield Family of Schools,Bluefield High,2002,Grade 7,0
Bluefield Family of Schools,Bluefield High,2002,Grade 8,0
Bluefield Family of Schools,Bluefield High,2002,Grade 9,0
Bluefield Family of Schools,Bluefield High,2002,Grade 10,285
Bluefield Family of Schools,Bluefield High,2002,Grade 11,319
Bluefield Family of Schools,Bluefield High,2002,Grade 12,249
Bluefield Family of Schools,Bluefield High,2003,K,0
Bluefield Family of Schools,Bluefield High,2003,Grade 1,0
Bluefield Family of Schools,Bluefield High,2003,Grade 2,0
Bluefield Family of Schools,Bluefield High,2003,Grade 3,0
Bluefield Family of Schools,Bluefield High,2003,Grade 4,0
Bluefield Family of Schools,Bluefield High,2003,Grade 5,0
Bluefield Family of Schools,Bluefield High,2003,Grade 6,0
Bluefield Family of Schools,Bluefield High,2003,Grade 7,0
Bluefield Family of Schools,Bluefield High,2003,Grade 8,0
Bluefield Family of Schools,Bluefield High,2003,Grade 9,0
Bluefield Family of Schools,Bluefield High,2003,Grade 10,265
Bluefield Family of Schools,Bluefield High,2003,Grade 11,284
Bluefield Family of Schools,Bluefield High,2003,Grade 12,282
Bluefield Family of Schools,Bluefield High,2004,K,0
Bluefield Family of Schools,Bluefield High,2004,Grade 1,0
Bluefield Family of Schools,Bluefield High,2004,Grade 2,0
